time,station,tlmax,tlmin,tl_mittel,cglo_j,rr,vv_mittel,p_mittel
1873-01-02T00:00+00:00,5901,1.0,0.0,0.5,,0.3,0.2,995.7
1873-01-03T00:00+00:00,5901,6.2,0.3,3.3,,-1,1.0,1000.6
1873-01-04T00:00+00:00,5901,4.9,0.0,2.5,,-1,0.2,1003.6
1873-01-05T00:00+00:00,5901,2.7,-1.6,0.6,,-1,0.6,1000.3
1873-01-06T00:00+00:00,5901,8.6,0.0,4.3,,-1,1.5,1003.6
1873-01-07T00:00+00:00,5901,2.8,-3.5,-0.4,,-1,0.0,1004.3
1873-01-08T00:00+00:00,5901,-1.3,-3.0,-2.2,,0.4,2.6,1002.9
1873-01-09T00:00+00:00,5901,-1.3,-2.4,-1.9,,-1,2.1,1002.0
1873-01-10T00:00+00:00,5901,-1.4,-2.9,-2.2,,-1,1.5,1003.5
1873-01-11T00:00+00:00,5901,-1.3,-2.5,-1.9,,-1,1.0,1003.4
1873-01-12T00:00+00:00,5901,-1.5,-3.0,-2.3,,-1,1.0,1002.7
1873-01-13T00:00+00:00,5901,7.0,-2.5,2.3,,-1,1.5,1002.2
1873-01-14T00:00+00:00,5901,10.8,7.0,8.9,,0.5,8.4,1001.4
1873-01-15T00:00+00:00,5901,9.1,1.6,5.4,,-1,1.0,1001.0
1873-01-16T00:00+00:00,5901,12.4,-0.6,5.9,,-1,2.1,999.7
1873-01-17T00:00+00:00,5901,5.8,-0.9,2.5,,-1,0.2,997.5
1873-01-18T00:00+00:00,5901,1.1,-0.6,0.3,,0.6,0.2,992.6
1873-01-19T00:00+00:00,5901,2.4,-0.9,0.8,,0.1,0.6,979.7
1873-01-20T00:00+00:00,5901,9.8,1.3,5.6,,-1,2.1,960.9
1873-01-21T00:00+00:00,5901,8.5,-0.8,3.9,,3.1,2.1,962.0
1873-01-22T00:00+00:00,5901,5.6,-1.4,2.1,,-1,4.5,970.9
1873-01-23T00:00+00:00,5901,7.4,-2.0,2.7,,-1,4.5,973.8
1873-01-24T00:00+00:00,5901,6.0,-0.2,2.9,,0.5,2.1,981.0
1873-01-25T00:00+00:00,5901,2.5,-0.3,1.1,,3.9,2.1,987.6
1873-01-26T00:00+00:00,5901,1.8,-0.1,0.9,,6.3,3.2,994.8
1873-01-27T00:00+00:00,5901,0.2,-4.0,-1.9,,0.1,3.2,995.5
1873-01-28T00:00+00:00,5901,0.0,-3.0,-1.5,,2.2,2.1,994.6
1873-01-29T00:00+00:00,5901,0.0,-1.3,-0.7,,-1,1.5,995.8
1873-01-30T00:00+00:00,5901,1.3,-1.6,-0.2,,1.1,1.0,994.7
1873-01-31T00:00+00:00,5901,-1.0,-5.4,-3.2,,0.8,2.1,992.3
1873-02-01T00:00+00:00,5901,-4.0,-6.8,-5.4,,0.7,1.5,993.9
1873-02-02T00:00+00:00,5901,-1.8,-6.0,-3.9,,-1,2.1,990.5
1873-02-03T00:00+00:00,5901,-0.8,-3.2,-2.0,,1.6,3.8,990.5
1873-02-04T00:00+00:00,5901,0.5,-1.6,-0.6,,2.3,2.1,993.8
1873-02-05T00:00+00:00,5901,0.7,-1.6,-0.5,,2.0,0.6,996.9
1873-02-06T00:00+00:00,5901,1.7,-1.6,0.1,,2.2,1.0,991.3
1873-02-07T00:00+00:00,5901,1.4,-0.3,0.6,,15.0,2.1,988.0
1873-02-08T00:00+00:00,5901,1.9,0.3,1.1,,2.2,2.6,991.2
1873-02-09T00:00+00:00,5901,3.4,0.6,2.0,,2.1,2.1,993.7
1873-02-10T00:00+00:00,5901,3.6,0.5,2.1,,20.6,2.6,985.2
1873-02-11T00:00+00:00,5901,1.2,-3.0,-0.9,,5.0,10.2,982.2
1873-02-12T00:00+00:00,5901,-2.6,-5.2,-3.9,,0.2,5.2,983.4
1873-02-13T00:00+00:00,5901,-2.3,-6.1,-4.2,,0.0,4.5,987.5
1873-02-14T00:00+00:00,5901,-1.0,-6.4,-3.7,,0.2,2.6,990.6
1873-02-15T00:00+00:00,5901,3.0,-4.0,-0.5,,0.4,1.5,997.8
1873-02-16T00:00+00:00,5901,4.0,1.0,2.5,,1.2,3.8,1004.8
1873-02-17T00:00+00:00,5901,4.2,1.0,2.6,,-1,2.1,1011.9
1873-02-18T00:00+00:00,5901,4.0,-0.8,1.6,,-1,3.2,1013.4
1873-02-19T00:00+00:00,5901,1.2,-2.0,-0.4,,-1,2.1,1014.4
1873-02-20T00:00+00:00,5901,4.2,-4.4,-0.1,,-1,0.2,1007.8
1873-02-21T00:00+00:00,5901,4.8,-1.2,1.8,,-1,2.6,1005.3
1873-02-22T00:00+00:00,5901,1.4,-1.9,-0.3,,-1,1.5,994.3
1873-02-23T00:00+00:00,5901,6.2,-3.4,1.4,,-1,1.5,989.1
1873-02-24T00:00+00:00,5901,8.4,0.3,4.4,,1.3,1.0,989.1
1873-02-25T00:00+00:00,5901,7.7,-2.3,2.7,,3.7,0.6,994.0
1873-02-26T00:00+00:00,5901,2.7,-2.3,0.2,,-1,5.2,986.5
1873-02-27T00:00+00:00,5901,10.7,2.3,6.5,,-1,1.0,974.7
1873-02-28T00:00+00:00,5901,7.8,2.3,5.1,,16.7,2.6,976.7
1873-03-01T00:00+00:00,5901,4.2,0.7,2.5,,9.8,3.8,983.6
1873-03-02T00:00+00:00,5901,8.7,0.0,4.4,,-1,1.0,981.7
1873-03-03T00:00+00:00,5901,9.5,3.5,6.5,,-1,3.2,991.0
1873-03-04T00:00+00:00,5901,9.5,4.1,6.8,,-1,0.6,988.1
1873-03-05T00:00+00:00,5901,10.2,6.1,8.2,,2.0,1.5,987.3
1873-03-06T00:00+00:00,5901,7.8,3.4,5.6,,17.9,1.5,984.6
1873-03-07T00:00+00:00,5901,5.0,0.4,2.7,,0.9,2.1,989.8
1873-03-08T00:00+00:00,5901,9.0,-1.3,3.9,,-1,1.5,988.8
1873-03-09T00:00+00:00,5901,7.7,2.0,4.9,,-1,1.0,991.8
1873-03-10T00:00+00:00,5901,8.0,0.6,4.3,,-1,0.6,987.6
1873-03-11T00:00+00:00,5901,7.3,4.2,5.8,,3.8,2.1,979.1
1873-03-12T00:00+00:00,5901,13.7,1.7,7.7,,-1,5.2,973.3
1873-03-13T00:00+00:00,5901,10.6,2.5,6.6,,-1,1.5,974.7
1873-03-14T00:00+00:00,5901,11.4,4.0,7.7,,-1,6.7,978.8
1873-03-15T00:00+00:00,5901,7.9,-0.7,3.6,,-1,1.5,992.1
1873-03-16T00:00+00:00,5901,10.7,2.1,6.4,,-1,1.0,993.2
1873-03-17T00:00+00:00,5901,14.8,1.6,8.2,,-1,1.0,990.8
1873-03-18T00:00+00:00,5901,16.6,5.3,11.0,,-1,1.0,985.8
1873-03-19T00:00+00:00,5901,16.6,5.4,11.0,,-1,1.0,976.8
1873-03-20T00:00+00:00,5901,13.0,4.6,8.8,,-1,3.8,975.6
1873-03-21T00:00+00:00,5901,9.3,4.3,6.8,,-1,2.1,986.6
1873-03-22T00:00+00:00,5901,9.3,4.4,6.9,,-1,2.1,990.7
1873-03-23T00:00+00:00,5901,10.7,2.6,6.7,,-1,2.1,995.9
1873-03-24T00:00+00:00,5901,12.5,2.4,7.5,,-1,3.2,1000.3
1873-03-25T00:00+00:00,5901,13.4,4.8,9.1,,-1,4.5,998.4
1873-03-26T00:00+00:00,5901,13.4,1.7,7.6,,-1,1.0,998.8
1873-03-27T00:00+00:00,5901,15.3,1.5,8.4,,-1,0.6,996.4
1873-03-28T00:00+00:00,5901,15.2,0.4,7.8,,-1,2.6,994.7
1873-03-29T00:00+00:00,5901,15.0,1.1,8.1,,-1,2.1,996.5
1873-03-30T00:00+00:00,5901,14.8,0.2,7.5,,-1,2.1,997.9
1873-03-31T00:00+00:00,5901,16.8,0.2,8.5,,-1,1.5,995.4
1873-04-01T00:00+00:00,5901,17.2,1.4,9.3,,-1,2.1,993.6
1873-04-02T00:00+00:00,5901,19.0,1.4,10.2,,-1,0.6,994.1
1873-04-03T00:00+00:00,5901,18.6,5.3,12.0,,-1,2.1,993.2
1873-04-04T00:00+00:00,5901,14.7,5.8,10.3,,1.6,2.1,991.9
1873-04-05T00:00+00:00,5901,12.7,3.6,8.2,,1.2,1.0,984.1
1873-04-06T00:00+00:00,5901,9.0,4.0,6.5,,0.9,3.2,977.5
1873-04-07T00:00+00:00,5901,6.9,3.2,5.1,,3.6,1.0,974.7
1873-04-08T00:00+00:00,5901,8.2,4.3,6.3,,0.1,6.7,983.1
1873-04-09T00:00+00:00,5901,12.7,2.8,7.8,,-1,2.6,996.0
1873-04-10T00:00+00:00,5901,11.7,1.7,6.7,,-1,1.5,997.6
1873-04-11T00:00+00:00,5901,12.8,4.2,8.5,,-1,2.1,988.5
1873-04-12T00:00+00:00,5901,15.8,1.6,8.7,,-1,2.6,987.4
1873-04-13T00:00+00:00,5901,15.8,5.8,10.8,,-1,1.5,992.9
1873-04-14T00:00+00:00,5901,16.6,4.4,10.5,,-1,2.6,993.1
1873-04-15T00:00+00:00,5901,18.0,4.2,11.1,,-1,1.5,991.8
1873-04-16T00:00+00:00,5901,18.9,5.9,12.4,,-1,2.1,985.4
1873-04-17T00:00+00:00,5901,20.2,8.1,14.2,,-1,1.5,979.2
1873-04-18T00:00+00:00,5901,22.3,9.8,16.1,,-1,3.2,979.7
1873-04-19T00:00+00:00,5901,17.5,8.5,13.0,,0.7,1.0,982.1
1873-04-20T00:00+00:00,5901,19.3,9.1,14.2,,0.7,1.0,984.5
1873-04-21T00:00+00:00,5901,14.0,9.4,11.7,,-1,2.6,988.8
1873-04-22T00:00+00:00,5901,17.0,7.2,12.1,,2.3,2.6,982.2
1873-04-23T00:00+00:00,5901,11.1,3.5,7.3,,1.9,2.1,978.5
1873-04-24T00:00+00:00,5901,8.0,2.0,5.0,,-1,2.6,982.5
1873-04-25T00:00+00:00,5901,7.8,-0.5,3.7,,-1,1.0,985.9
1873-04-26T00:00+00:00,5901,7.9,1.2,4.6,,-1,5.2,986.9
1873-04-27T00:00+00:00,5901,7.7,0.6,4.2,,-1,5.9,986.6
1873-04-28T00:00+00:00,5901,10.9,0.7,5.8,,-1,5.2,987.5
1873-04-29T00:00+00:00,5901,10.6,2.8,6.7,,-1,6.7,988.3
1873-04-30T00:00+00:00,5901,8.5,1.5,5.0,,1.2,4.5,990.1
1873-05-01T00:00+00:00,5901,9.4,3.6,6.5,,4.3,4.5,986.5
1873-05-02T00:00+00:00,5901,14.0,5.5,9.8,,2.9,2.1,989.8
1873-05-03T00:00+00:00,5901,22.0,3.5,12.8,,-1,1.0,981.3
1873-05-04T00:00+00:00,5901,13.6,7.0,10.3,,10.3,2.6,979.4
1873-05-05T00:00+00:00,5901,15.1,7.3,11.2,,0.6,3.2,984.9
1873-05-06T00:00+00:00,5901,17.2,3.1,10.2,,-1,1.0,984.4
1873-05-07T00:00+00:00,5901,19.4,5.0,12.2,,-1,2.1,982.3
1873-05-08T00:00+00:00,5901,14.3,9.0,11.7,,-1,3.2,982.7
1873-05-09T00:00+00:00,5901,9.6,7.0,8.3,,9.5,12.1,984.9
1873-05-10T00:00+00:00,5901,16.0,7.5,11.8,,8.0,7.5,989.6
1873-05-11T00:00+00:00,5901,15.3,8.2,11.8,,2.7,3.2,998.1
1873-05-12T00:00+00:00,5901,15.3,7.6,11.5,,9.6,3.2,993.3
1873-05-13T00:00+00:00,5901,13.0,6.0,9.5,,3.8,5.2,986.7
1873-05-14T00:00+00:00,5901,11.0,4.5,7.8,,6.3,4.5,987.4
1873-05-15T00:00+00:00,5901,13.0,4.7,8.9,,6.8,1.0,990.0
1873-05-16T00:00+00:00,5901,17.4,6.2,11.8,,-1,1.5,988.8
1873-05-17T00:00+00:00,5901,19.8,5.4,12.6,,-1,1.0,984.1
1873-05-18T00:00+00:00,5901,22.0,9.0,15.5,,-1,1.0,979.2
1873-05-19T00:00+00:00,5901,22.4,12.3,17.4,,-1,1.0,980.4
1873-05-20T00:00+00:00,5901,16.0,9.2,12.6,,1.4,8.4,988.2
1873-05-21T00:00+00:00,5901,11.7,8.2,10.0,,-1,5.2,994.4
1873-05-22T00:00+00:00,5901,12.3,8.2,10.3,,3.2,2.1,992.1
1873-05-23T00:00+00:00,5901,19.0,8.8,13.9,,-1,2.1,992.8
1873-05-24T00:00+00:00,5901,20.0,9.0,14.5,,2.4,2.6,992.1
1873-05-25T00:00+00:00,5901,16.8,11.0,13.9,,-1,3.8,995.7
1873-05-26T00:00+00:00,5901,18.7,8.5,13.6,,-1,0.6,995.7
1873-05-27T00:00+00:00,5901,19.6,6.2,12.9,,2.5,5.9,987.4
1873-05-28T00:00+00:00,5901,16.5,9.0,12.8,,8.9,2.6,987.4
1873-05-29T00:00+00:00,5901,13.0,9.8,11.4,,0.7,4.5,990.0
1873-05-30T00:00+00:00,5901,13.4,6.6,10.0,,1.1,5.2,991.2
1873-05-31T00:00+00:00,5901,13.6,4.6,9.1,,-1,1.5,990.4
1873-06-01T00:00+00:00,5901,10.7,6.2,8.5,,15.2,3.2,991.4
1873-06-02T00:00+00:00,5901,18.2,7.0,12.6,,-1,2.6,994.0
1873-06-03T00:00+00:00,5901,22.1,7.1,14.6,,-1,1.5,994.8
1873-06-04T00:00+00:00,5901,23.8,9.1,16.5,,-1,2.6,992.6
1873-06-05T00:00+00:00,5901,27.3,12.7,20.0,,0.5,2.1,986.2
1873-06-06T00:00+00:00,5901,23.0,15.4,19.2,,-1,3.2,984.6
1873-06-07T00:00+00:00,5901,18.0,11.5,14.8,,1.6,5.2,982.2
1873-06-08T00:00+00:00,5901,13.7,7.5,10.6,,-1,3.8,990.1
1873-06-09T00:00+00:00,5901,14.9,7.0,11.0,,3.4,2.1,992.4
1873-06-10T00:00+00:00,5901,18.0,10.0,14.0,,2.0,1.0,991.7
1873-06-11T00:00+00:00,5901,22.8,11.1,17.0,,0.1,1.5,989.1
1873-06-12T00:00+00:00,5901,16.1,11.7,13.9,,3.4,1.0,980.4
1873-06-13T00:00+00:00,5901,21.1,11.4,16.3,,0.6,1.0,979.8
1873-06-14T00:00+00:00,5901,17.5,11.0,14.3,,-1,10.2,985.8
1873-06-15T00:00+00:00,5901,23.1,13.1,18.1,,-1,2.1,991.7
1873-06-16T00:00+00:00,5901,25.8,10.9,18.4,,-1,1.0,992.2
1873-06-17T00:00+00:00,5901,27.1,13.0,20.1,,-1,1.0,991.4
1873-06-18T00:00+00:00,5901,29.1,14.5,21.8,,-1,1.0,991.3
1873-06-19T00:00+00:00,5901,26.4,16.0,21.2,,1.6,4.5,993.5
1873-06-20T00:00+00:00,5901,25.5,16.5,21.0,,6.7,3.2,997.1
1873-06-21T00:00+00:00,5901,26.2,16.4,21.3,,-1,1.5,999.1
1873-06-22T00:00+00:00,5901,29.1,15.1,22.1,,-1,1.0,995.8
1873-06-23T00:00+00:00,5901,29.4,15.6,22.5,,-1,0.6,990.7
1873-06-24T00:00+00:00,5901,25.9,17.8,21.9,,4.2,4.5,992.1
1873-06-25T00:00+00:00,5901,25.0,16.1,20.6,,1.2,4.5,988.2
1873-06-26T00:00+00:00,5901,18.5,12.4,15.5,,2.0,5.2,990.5
1873-06-27T00:00+00:00,5901,19.8,10.8,15.3,,1.2,3.8,993.7
1873-06-28T00:00+00:00,5901,17.9,13.1,15.5,,4.4,1.5,995.2
1873-06-29T00:00+00:00,5901,25.3,14.7,20.0,,12.5,1.0,991.5
1873-06-30T00:00+00:00,5901,27.0,15.8,21.4,,-1,0.6,990.2
1873-07-01T00:00+00:00,5901,23.9,16.2,20.1,,8.6,2.6,990.9
1873-07-02T00:00+00:00,5901,25.4,15.4,20.4,,2.0,2.6,993.4
1873-07-03T00:00+00:00,5901,24.6,12.6,18.6,,-1,1.5,993.6
