time,station,cglo,cglo_flag,ff,p,p_flag,pred,pred_flag,rf,rf_flag,ff_flag,rr,rr_flag,rrm,rrm_flag,sh,sh_flag,so_h,so_h_flag,tl,tl_flag
2021-01-01T00:00+00:00,16412,0,10,1.3,963.1,10,,,92,10,10,0.0,10,0,10,,,0.0,10,-1.0,10
2021-01-01T01:00+00:00,16412,0,10,0.3,963.2,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-2.2,10
2021-01-01T02:00+00:00,16412,0,10,0.5,963.2,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-2.2,10
2021-01-01T03:00+00:00,16412,0,10,0.3,962.7,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-2.9,10
2021-01-01T04:00+00:00,16412,0,10,0.9,962.5,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-3.1,10
2021-01-01T05:00+00:00,16412,0,10,1.2,962.7,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-3.4,10
2021-01-01T06:00+00:00,16412,0,10,1.7,963.1,10,,,93,10,10,0.0,10,0,10,,,0.0,10,-3.6,10
2021-01-01T07:00+00:00,16412,5,10,1.5,963.5,10,,,92,10,10,0.0,10,0,10,,,0.1,10,-3.3,10
2021-01-01T08:00+00:00,16412,85,10,1.0,964.1,10,,,91,10,10,0.0,10,0,10,,,1.0,10,-2.5,10
2021-01-01T09:00+00:00,16412,208,10,0.8,964.1,10,,,75,10,10,0.0,10,0,10,,,1.0,10,1.4,10
2021-01-01T10:00+00:00,16412,290,10,1.5,964.3,10,,,77,10,10,0.0,10,0,10,,,1.0,10,1.6,10
2021-01-01T11:00+00:00,16412,350,10,1.0,964.0,10,,,70,10,10,0.0,10,0,10,,,1.0,10,3.1,10
2021-01-01T12:00+00:00,16412,243,10,0.9,964.0,10,,,67,10,10,0.0,10,0,10,,,0.6,10,3.7,10
2021-01-01T13:00+00:00,16412,129,10,0.2,964.1,10,,,68,10,10,0.0,10,0,10,,,0.0,10,3.8,10
2021-01-01T14:00+00:00,16412,82,10,0.2,964.4,10,,,69,10,10,0.0,10,0,10,,,0.0,10,3.7,10
2021-01-01T15:00+00:00,16412,33,10,0.6,964.8,10,,,74,10,10,0.0,10,0,10,,,0.0,10,3.2,10
2021-01-01T16:00+00:00,16412,2,10,1.0,965.2,10,,,83,10,10,0.0,10,0,10,,,0.0,10,2.0,10
2021-01-01T17:00+00:00,16412,0,10,1.3,965.7,10,,,87,10,10,0.0,10,0,10,,,0.0,10,0.6,10
2021-01-01T18:00+00:00,16412,0,10,1.5,965.9,10,,,88,10,10,0.0,10,0,10,,,0.0,10,0.1,10
2021-01-01T19:00+00:00,16412,0,10,1.6,966.2,10,,,89,10,10,0.0,10,0,10,,,0.0,10,0.0,10
2021-01-01T20:00+00:00,16412,0,10,1.6,966.5,10,,,85,10,10,0.0,10,0,10,,,0.0,10,0.6,10
2021-01-01T21:00+00:00,16412,0,10,1.2,966.6,10,,,87,10,10,0.0,10,0,10,,,0.0,10,0.5,10
2021-01-01T22:00+00:00,16412,0,10,1.2,967.1,10,,,88,10,10,0.0,10,0,10,,,0.0,10,0.2,10
2021-01-01T23:00+00:00,16412,0,10,1.1,967.3,10,,,89,10,10,0.2,10,35,10,,,0.0,10,0.7,10
2021-01-02T00:00+00:00,16412,0,10,1.8,967.3,10,,,90,10,10,0.0,10,3,10,,,0.0,10,0.7,10
2021-01-02T01:00+00:00,16412,0,10,1.2,967.8,10,,,93,10,10,0.0,10,0,10,,,0.0,10,0.5,10
2021-01-02T02:00+00:00,16412,0,10,0.9,967.8,10,,,94,10,10,0.0,10,0,10,,,0.0,10,0.7,10
2021-01-02T03:00+00:00,16412,0,10,0.5,967.8,10,,,95,10,10,0.0,10,0,10,,,0.0,10,0.6,10
2021-01-02T04:00+00:00,16412,0,10,1.1,967.5,10,,,91,10,10,0.0,10,0,10,,,0.0,10,0.6,10
2021-01-02T05:00+00:00,16412,0,10,1.3,967.8,10,,,91,10,10,0.0,10,0,10,,,0.0,10,0.7,10
2021-01-02T06:00+00:00,16412,0,10,0.5,968.2,10,,,94,10,10,0.0,10,0,10,,,0.0,10,0.8,10
2021-01-02T07:00+00:00,16412,1,10,0.7,968.5,10,,,92,10,10,0.1,10,50,10,,,0.0,10,1.1,10
2021-01-02T08:00+00:00,16412,15,10,1.0,968.6,10,,,92,10,10,0.0,10,3,10,,,0.0,10,1.6,10
2021-01-02T09:00+00:00,16412,37,10,0.6,969.0,10,,,90,10,10,0.0,10,7,10,,,0.0,10,2.3,10
2021-01-02T10:00+00:00,16412,92,10,1.0,968.9,10,,,87,10,10,0.0,10,6,10,,,0.0,10,2.9,10
2021-01-02T11:00+00:00,16412,166,10,1.0,968.2,10,,,85,10,10,0.0,10,0,10,,,0.0,10,3.6,10
2021-01-02T12:00+00:00,16412,90,10,0.5,967.8,10,,,85,10,10,0.0,10,0,10,,,0.0,10,4.0,10
2021-01-02T13:00+00:00,16412,94,10,0.9,966.9,10,,,84,10,10,0.0,10,0,10,,,0.0,10,4.3,10
2021-01-02T14:00+00:00,16412,51,10,0.7,967.4,10,,,87,10,10,0.1,10,18,10,,,0.0,10,4.4,10
2021-01-02T15:00+00:00,16412,21,10,0.3,967.0,10,,,92,10,10,0.1,10,38,10,,,0.0,10,3.8,10
2021-01-02T16:00+00:00,16412,1,10,0.6,967.4,10,,,93,10,10,0.0,10,0,10,,,0.0,10,3.3,10
